gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.02,3,0.35,IRRECOVERABLE,3,0.016119,0.009414,0.048711
1.04,3,0.35,IRRECOVERABLE,3,0.045071,0.033522,0.370096
1.06,3,0.35,IRRECOVERABLE,3,0.167189,0.350363,3.103141
1.08,3,0.35,IRRECOVERABLE,3,1.041612,3.806504,26.584005
1.0,4,0.35,RECOVERABLE,1,0.012501,0.006721,0.015906
1.02,4,0.35,IRRECOVERABLE,3,0.021824,0.012558,0.060041
1.04,4,0.35,IRRECOVERABLE,3,0.053614,0.041982,0.388406
1.06,4,0.35,IRRECOVERABLE,3,0.320147,0.372944,3.238052
1.08,4,0.35,IRRECOVERABLE,3,2.679277,4.159319,28.827048
1.0,5,0.35,RECOVERABLE,1,0.00618,0.005716,0.015424
1.02,5,0.35,RECOVERABLE,1,0.009122,0.009738,0.060896
1.04,5,0.35,IRRECOVERABLE,3,0.038876,0.041738,0.418586
1.06,5,0.35,IRRECOVERABLE,3,0.179417,0.376173,3.54299
1.08,5,0.35,IRRECOVERABLE,3,1.201734,4.420582,31.297738
1.0,6,0.35,RECOVERABLE,1,0.008925,0.007791,0.022453
1.02,6,0.35,IRRECOVERABLE,3,0.027761,0.013457,0.073546
1.04,6,0.35,IRRECOVERABLE,3,0.110974,0.047314,0.464311
1.06,6,0.35,IRRECOVERABLE,3,0.535944,0.464174,3.943991
1.08,6,0.35,IRRECOVERABLE,3,2.854742,5.108482,35.232163
1.0,7,0.35,RECOVERABLE,1,0.010462,0.008807,0.019504
1.02,7,0.35,IRRECOVERABLE,3,0.032995,0.017022,0.094793
1.04,7,0.35,IRRECOVERABLE,3,0.147096,0.064502,0.704099
1.06,7,0.35,IRRECOVERABLE,3,0.96493,0.619339,6.014014
1.08,7,0.35,IRRECOVERABLE,3,7.873634,7.371475,52.504871
1.0,8,0.35,RECOVERABLE,1,0.007586,0.005716,0.015045
1.02,8,0.35,IRRECOVERABLE,3,0.027356,0.011674,0.06076
1.04,8,0.35,IRRECOVERABLE,3,0.099614,0.0492,0.509444
1.06,8,0.35,IRRECOVERABLE,3,0.544819,0.53122,4.836765
1.08,8,0.35,IRRECOVERABLE,3,4.081888,6.412699,44.910752
1.0,9,0.35,RECOVERABLE,1,0.009029,0.008472,0.030028
1.02,9,0.35,IRRECOVERABLE,3,0.019448,0.022852,0.17485
1.04,9,0.35,IRRECOVERABLE,3,0.105901,0.139261,1.413119
1.06,9,0.35,IRRECOVERABLE,3,0.865384,1.373438,12.478966
1.08,9,0.35,IRRECOVERABLE,3,7.140977,15.799472,110.68859
1.0,10,0.35,RECOVERABLE,1,0.011895,0.009553,0.039755
1.02,10,0.35,IRRECOVERABLE,3,0.035144,0.023491,0.197159
1.04,10,0.35,IRRECOVERABLE,3,0.156487,0.153316,1.496675
1.06,10,0.35,IRRECOVERABLE,3,0.907379,1.55371,13.121983
1.08,10,0.35,IRRECOVERABLE,3,5.830275,17.078518,117.543917
1.0,0,0.4,RECOVERABLE,1,0.002655,0.004732,0.003997
1.02,0,0.4,RECOVERABLE,1,0.003255,0.005323,0.005072
1.04,0,0.4,RECOVERABLE,1,0.004264,0.005959,0.008246
1.06,0,0.4,RECOVERABLE,1,0.010044,0.006641,0.022877
1.08,0,0.4,IRRECOVERABLE,3,0.032909,0.021043,0.116321
1.0,1,0.4,RECOVERABLE,1,0.002655,0.004732,0.003997
1.02,1,0.4,RECOVERABLE,1,0.003255,0.005323,0.005072
1.04,1,0.4,RECOVERABLE,1,0.004264,0.005959,0.008246
