gain,delay,p_mix,phase,phase_code,max_jerk,min_jerk,jerk_span,mean_abs_jerk,final_variance
1.0,4,0.3,RECOVERABLE,1,0.018008,-0.017316,0.035324,0.005166,0.018151
1.02,4,0.3,IRRECOVERABLE,3,0.046854,-0.032969,0.079823,0.010006,0.078154
1.04,4,0.3,IRRECOVERABLE,3,0.180181,-0.115089,0.295269,0.027692,0.558949
1.06,4,0.3,IRRECOVERABLE,3,0.874601,-0.515611,1.390213,0.109198,4.854442
1.08,4,0.3,IRRECOVERABLE,3,5.180259,-2.856579,8.036838,0.555556,43.662636
1.0,5,0.3,RECOVERABLE,1,0.016376,-0.013024,0.0294,0.005118,0.017716
1.02,5,0.3,RECOVERABLE,1,0.022184,-0.026014,0.048199,0.008869,0.071767
1.04,5,0.3,IRRECOVERABLE,3,0.093549,-0.078258,0.171807,0.021221,0.486689
1.06,5,0.3,IRRECOVERABLE,3,0.430385,-0.28276,0.713145,0.071185,4.031847
1.08,5,0.3,IRRECOVERABLE,3,2.485006,-1.448215,3.933221,0.299082,35.020444
1.0,6,0.3,RECOVERABLE,1,0.016606,-0.016841,0.033447,0.005268,0.023865
1.02,6,0.3,IRRECOVERABLE,3,0.0552,-0.032452,0.087653,0.011166,0.096071
1.04,6,0.3,IRRECOVERABLE,3,0.272454,-0.13937,0.411824,0.031011,0.722398
1.06,6,0.3,IRRECOVERABLE,3,1.50238,-0.727127,2.229507,0.10996,6.579921
1.08,6,0.3,IRRECOVERABLE,3,8.531237,-4.426465,12.957701,0.467444,60.348053
1.0,7,0.3,RECOVERABLE,1,0.023807,-0.016941,0.040748,0.007357,0.020627
1.02,7,0.3,IRRECOVERABLE,3,0.059894,-0.044219,0.104113,0.014459,0.109518
1.04,7,0.3,IRRECOVERABLE,3,0.287244,-0.138014,0.425258,0.041895,0.878231
1.06,7,0.3,IRRECOVERABLE,3,1.841007,-0.927646,2.768653,0.182122,7.83145
1.08,7,0.3,IRRECOVERABLE,3,14.844233,-7.654871,22.499104,1.008153,69.828013
1.0,8,0.3,RECOVERABLE,1,0.013724,-0.012703,0.026427,0.005144,0.017748
1.02,8,0.3,IRRECOVERABLE,3,0.043071,-0.030234,0.073306,0.009939,0.103166
1.04,8,0.3,IRRECOVERABLE,3,0.275552,-0.152271,0.427822,0.025097,0.954602
1.06,8,0.3,IRRECOVERABLE,3,1.583628,-0.852392,2.436021,0.086567,9.029686
1.08,8,0.3,IRRECOVERABLE,3,8.756873,-4.70907,13.465944,0.375431,82.439591
1.0,9,0.3,RECOVERABLE,1,0.015495,-0.015642,0.031137,0.00612,0.030437
1.02,9,0.3,IRRECOVERABLE,3,0.048469,-0.041437,0.089906,0.011694,0.18189
1.04,9,0.3,IRRECOVERABLE,3,0.256163,-0.174982,0.431145,0.033121,1.508862
1.06,9,0.3,IRRECOVERABLE,3,1.818897,-1.065261,2.884158,0.139697,13.530907
1.08,9,0.3,IRRECOVERABLE,3,13.863336,-7.569867,21.433203,0.769842,120.990585
1.0,10,0.3,RECOVERABLE,1,0.020391,-0.014203,0.034594,0.006359,0.040807
1.02,10,0.3,IRRECOVERABLE,3,0.070418,-0.036546,0.106964,0.011811,0.211826
1.04,10,0.3,IRRECOVERABLE,3,0.360593,-0.183156,0.543749,0.030758,1.658928
1.06,10,0.3,IRRECOVERABLE,3,2.209935,-1.145905,3.35584,0.116366,14.750548
1.08,10,0.3,IRRECOVERABLE,3,14.13236,-7.45624,21.5886,0.585273,132.93919
1.0,0,0.35,RECOVERABLE,1,0.006347,-0.005826,0.012173,0.002393,0.005234
1.02,0,0.35,RECOVERABLE,1,0.007005,-0.006283,0.013288,0.002998,0.007005
1.04,0,0.35,RECOVERABLE,1,0.009818,-0.009955,0.019773,0.004223,0.012448
1.06,0,0.35,RECOVERABLE,1,0.023781,-0.023883,0.047664,0.007602,0.039779
1.08,0,0.35,IRRECOVERABLE,3,0.113671,-0.083096,0.196768,0.022151,0.229194
1.0,1,0.35,RECOVERABLE,1,0.006347,-0.005826,0.012173,0.002393,0.005234
1.02,1,0.35,RECOVERABLE,1,0.007005,-0.006283,0.013288,0.002998,0.007005
1.04,1,0.35,RECOVERABLE,1,0.009818,-0.009955,0.019773,0.004223,0.012448
1.06,1,0.35,RECOVERABLE,1,0.023781,-0.023883,0.047664,0.007602,0.039779
1.08,1,0.35,IRRECOVERABLE,3,0.113671,-0.083096,0.196768,0.022151,0.229194
1.0,2,0.35,RECOVERABLE,1,0.017698,-0.013259,0.030957,0.004164,0.009191
1.02,2,0.35,RECOVERABLE,1,0.018663,-0.019987,0.03865,0.005894,0.019349
1.04,2,0.35,IRRECOVERABLE,3,0.055399,-0.056803,0.112202,0.013338,0.097336
1.06,2,0.35,IRRECOVERABLE,3,0.368482,-0.292408,0.66089,0.056003,0.784783
1.08,2,0.35,IRRECOVERABLE,3,3.478526,-2.427158,5.905684,0.329962,6.931558
1.0,3,0.35,RECOVERABLE,1,0.018401,-0.01649,0.034891,0.005512,0.008741
1.02,3,0.35,IRRECOVERABLE,3,0.033466,-0.022222,0.055688,0.008613,0.048711
1.04,3,0.35,IRRECOVERABLE,3,0.076549,-0.051492,0.128041,0.01799,0.370096
1.06,3,0.35,IRRECOVERABLE,3,0.301139,-0.165455,0.466593,0.056085,3.103141
1.08,3,0.35,IRRECOVERABLE,3,1.274591,-1.225324,2.499914,0.247831,26.584005
1.0,4,0.35,RECOVERABLE,1,0.019283,-0.017338,0.036621,0.004848,0.015906
1.02,4,0.35,IRRECOVERABLE,3,0.034703,-0.028119,0.062822,0.008996,0.060041
1.04,4,0.35,IRRECOVERABLE,3,0.124213,-0.082595,0.206808,0.02407,0.388406
1.06,4,0.35,IRRECOVERABLE,3,0.649596,-0.401073,1.050669,0.091594,3.238052
1.08,4,0.35,IRRECOVERABLE,3,4.983832,-2.79119,7.775022,0.454445,28.827048
1.0,5,0.35,RECOVERABLE,1,0.014129,-0.01124,0.025369,0.00468,0.015424
1.02,5,0.35,RECOVERABLE,1,0.02113,-0.022926,0.044056,0.008059,0.060896
1.04,5,0.35,IRRECOVERABLE,3,0.083312,-0.068653,0.151965,0.019263,0.418586
1.06,5,0.35,IRRECOVERABLE,3,0.409551,-0.270388,0.679939,0.063878,3.54299
1.08,5,0.35,IRRECOVERABLE,3,2.360486,-1.381562,3.742048,0.263025,31.297738
1.0,6,0.35,RECOVERABLE,1,0.01518,-0.014108,0.029288,0.004551,0.022453
1.02,6,0.35,IRRECOVERABLE,3,0.045194,-0.025527,0.070721,0.009434,0.073546
1.04,6,0.35,IRRECOVERABLE,3,0.201596,-0.103508,0.305104,0.026679,0.464311
1.06,6,0.35,IRRECOVERABLE,3,1.03743,-0.502532,1.539962,0.099611,3.943991
1.08,6,0.35,IRRECOVERABLE,3,5.6348,-2.90249,8.53729,0.46008,35.232163
1.0,7,0.35,RECOVERABLE,1,0.020999,-0.016632,0.037631,0.007063,0.019504
1.02,7,0.35,IRRECOVERABLE,3,0.054206,-0.038836,0.093043,0.013636,0.094793
1.04,7,0.35,IRRECOVERABLE,3,0.268014,-0.129408,0.397422,0.03938,0.704099
1.06,7,0.35,IRRECOVERABLE,3,1.852972,-0.938174,2.791146,0.175616,6.014014
1.08,7,0.35,IRRECOVERABLE,3,15.125224,-7.949908,23.075132,0.995856,52.504871
1.0,8,0.35,RECOVERABLE,1,0.013422,-0.012198,0.02562,0.004773,0.015045
1.02,8,0.35,IRRECOVERABLE,3,0.044973,-0.03133,0.076304,0.009658,0.06076
1.04,8,0.35,IRRECOVERABLE,3,0.180929,-0.108401,0.289331,0.027349,0.509444
1.06,8,0.35,IRRECOVERABLE,3,0.968526,-0.506992,1.475518,0.106926,4.836765
